path,deployment,datetime,media_type
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0604.mp4.xmp,6009_gps1_diq202504-202509,2025-03-12 12:56:30,video/mp4
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0605.jpg.xmp,6009_gps1_diq202504-202509,2025-03-12 12:56:30,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0606.jpg.xmp,6009_gps1_diq202504-202509,2025-03-12 12:56:31,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0607.mp4.xmp,6009_gps1_diq202504-202509,2025-03-12 14:37:02,video/mp4
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0608.jpg.xmp,6009_gps1_diq202504-202509,2025-03-12 14:37:02,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0609.jpg.xmp,6009_gps1_diq202504-202509,2025-03-12 14:37:03,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0610.mp4.xmp,6009_gps1_diq202504-202509,2025-03-12 14:37:35,video/mp4
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0611.jpg.xmp,6009_gps1_diq202504-202509,2025-03-12 14:37:35,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0612.jpg.xmp,6009_gps1_diq202504-202509,2025-03-12 14:37:36,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0613.mp4.xmp,6009_gps1_diq202504-202509,2025-03-12 14:38:06,video/mp4
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0614.jpg.xmp,6009_gps1_diq202504-202509,2025-03-12 14:38:06,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0615.jpg.xmp,6009_gps1_diq202504-202509,2025-03-12 14:38:07,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0616.mp4.xmp,6009_gps1_diq202504-202509,2025-03-12 14:38:38,video/mp4
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0617.jpg.xmp,6009_gps1_diq202504-202509,2025-03-12 14:38:38,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0618.jpg.xmp,6009_gps1_diq202504-202509,2025-03-12 14:38:39,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0619.mp4.xmp,6009_gps1_diq202504-202509,2025-03-12 14:39:10,video/mp4
